title,slug,category,styrk_code,median_pay_annual,num_employed,education,url
Politi,politi,Høyskoleyrker,3355,767040,12137,,https://utdanning.no/yrker/y_politi
Politibetjent,politibetjent,Høyskoleyrker,3355,767040,12137,Bachelor,https://utdanning.no/yrker/y_politibetjent
Politijurist,politijurist,Akademiske yrker,2619,875040,1192,Master,https://utdanning.no/yrker/y_politijurist
Politiker,politiker,Ledere,1111,1064160,1197,,https://utdanning.no/yrker/y_politiker
Portør,portoer,Salgs- og serviceyrker,5329,540840,69871,Videregående,https://utdanning.no/yrker/y_portor
Postbud,postbud,Kontoryrker,4412,540720,3198,,https://utdanning.no/yrker/y_postbud
Prest,prest,Akademiske yrker,2636,774000,2194,Master,https://utdanning.no/yrker/y_prest
Produksjonselektroniker,produksjonselektroniker,"Prosess- og maskinoperatører, transportarbeidere mv.",8212,597960,4791,Videregående,https://utdanning.no/yrker/y_prod_elektro
Produktleder,produktleder,Akademiske yrker,2432,771960,4509,Bachelor,https://utdanning.no/yrker/y_produktleder
Produktutvikler fiskefôr,produktutvikler-fiskef-r,"Prosess- og maskinoperatører, transportarbeidere mv.",8160,521760,25455,,https://utdanning.no/yrker/y_fiskefor
Professor,professor,Akademiske yrker,2310,752880,30479,Doktorgrad,https://utdanning.no/yrker/y_professor
Profileringsdesigner,profileringsdesigner,,,,,,https://utdanning.no/yrker/y_profileringsdesigner
Prosessingeniør,prosessingenioer,Høyskoleyrker,3114,849960,15127,Master,https://utdanning.no/yrker/y_prosessingenior
Prosjektleder,prosjektleder,,,,,,https://utdanning.no/yrker/y_prosjektleder
Psykiater,psykiater,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_psykiater
Psykolog,psykolog,Akademiske yrker,2634,795240,9490,,https://utdanning.no/yrker/y_psykolog
Psykoterapeut,psykoterapeut,Høyskoleyrker,3230,660000,206,,https://utdanning.no/yrker/y_psykoterapeut
Pølsemaker,poelsemaker,Håndverkere,7511,535800,1904,Videregående,https://utdanning.no/yrker/y_polsemaker
Radiograf,radiograf,Høyskoleyrker,3211,696960,3149,,https://utdanning.no/yrker/y_radiograf
Radiolog,radiolog,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_radiolog
Redaktør,redaktoer,Akademiske yrker,2642,775560,7503,,https://utdanning.no/yrker/y_redaktor
Redningsmann,redningsmann,,,,,,https://utdanning.no/yrker/y_redningsmann
Regissør,regissoer,Akademiske yrker,2654,750000,1284,Bachelor,https://utdanning.no/yrker/y_regissor
Regnskapsfører,regnskapsfoerer,Høyskoleyrker,3313,738000,19515,Bachelor,https://utdanning.no/yrker/y_regnskapsforer
Reindriftsutøver,reindriftsutoever,"Bønder, fiskere mv.",6121,457920,3187,Fagbrev/fagskole,https://utdanning.no/yrker/y_reindriftsutover
